userId,yellow_diamond_count
56526425,5009
57146692,1556
56501949,1477
57037101,1461
56532503,985
57127546,889
56518072,851
57214483,675
56520627,628
25047471,564
54270566,538
56458828,537
54575329,529
57035306,527
55001781,452
56822507,450
56674960,420
56438959,417
55760078,410
56140583,388
56912833,372
56518491,369
54151324,343
53585061,289
56827666,275
56439156,274
55370943,241
53590220,235
54102680,230
56521581,227
55657503,224
54902954,223
56063856,223
56946498,216
57190075,204
57062073,203
57061033,198
57210182,197
56278859,183
56505565,181
53605342,176
54697013,176
57077789,172
54512629,168
57217347,167
56926997,165
57165780,164
56819092,153
57061865,152
54673424,148
56967224,147
56502519,144
57045435,144
54507646,143
54371107,135
56768788,128
56543325,124
56915132,123
56624931,123
57116776,119
53755477,116
56709512,115
56371775,114
57046184,112
57121921,106
55627157,106
54051684,105
57046378,105
57167291,105
53904803,103
56517319,102
56314587,98
56941630,94
57035318,94
56266174,94
57032934,92
53876708,91
53225319,90
57161070,89
57192462,88
56388527,88
53643852,87
56827795,86
53628439,84
56828138,83
57039464,82
56640770,81
53959347,80
55504522,80
53688941,79
57191231,79
53916545,79
56859630,77
55741756,77
48086714,76
57192672,75
56330805,74
57180668,73
57206255,73
54448013,73
57185294,72
56921853,72
56035273,72
56436944,71
54418086,71
55066476,71
45768535,69
53984017,68
57042258,68
54711309,65
200005155,65
53644684,64
56979793,63
56933360,62
56943356,61
54033786,60
55210395,60
57203991,59
53575353,59
53609390,58
55878972,58
56625075,57
53573853,56
56827657,56
56621015,56
49016562,55
55714762,54
22144342,53
56815479,53
48842677,53
54503966,51
56882738,51
56873673,50
56881335,49
56350993,49
56625686,49
56627046,49
56881749,48
57134487,48
56825997,47
56657602,47
56852793,46
54335928,46
53465918,46
56522241,46
53590795,45
57189188,45
56962142,45
55899548,45
56829970,44
54303245,44
56794759,44
54080109,43
57073130,43
57085020,43
56866341,43
53591273,43
55021139,43
56827799,43
55038678,42
57035603,42
56918713,42
57202186,41
55454988,40
56555700,39
54828227,39
54343888,39
52561378,39
54901433,39
55388459,38
55605788,38
56868855,38
54749478,37
56926659,37
57084650,37
56920247,37
20131143,37
54674299,37
49680114,36
200002040,36
56624439,36
54500560,36
55578863,36
200005456,36
56824147,35
56887697,34
56714062,34
54770612,34
57152810,34
56618455,34
53637806,33
53297641,33
56923662,33
56129134,33
55232166,33
56594862,32
56770976,32
53686740,32
54357058,32
53664059,32
55570462,31
54504481,31
60004881,31
56068671,31
54336284,31
56921008,31
54680100,30
56329473,30
56454737,30
57190125,30
57173530,29
56538540,29
57055323,28
56910870,28
57202881,28
54086367,28
53486312,28
53591085,28
16384394,27
54004121,27
56576416,27
56011663,27
55012453,27
55726219,26
53996255,26
57133494,26
56709583,26
57160455,26
48077604,26
56323839,26
51787557,26
57122881,25
57115323,25
54209309,25
53630016,25
51407951,25
53625339,24
57160321,24
57215456,24
57163483,24
57166496,23
37973001,23
56505541,23
57131134,23
53579366,23
54692504,23
53321902,22
54301221,22
57166691,22
57156655,22
53685579,22
56706441,22
56593848,22
32470504,22
56827663,22
55523358,21
56940659,21
56694920,21
56514720,21
51520012,21
55864957,21
55889760,21
57028617,20
53666556,20
53760226,20
56969784,20
55756167,20
55212155,19
56783618,19
57197513,19
56788516,19
56706625,19
54513360,19
56590093,19
57171759,19
57018222,19
55732172,19
57066499,18
56496180,18
56903322,18
56736104,18
56782252,18
54684174,18
56439600,18
54606779,18
55600368,18
55215756,18
56825848,18
56162308,17
57192148,17
56922686,17
56576838,17
57177014,17
57123894,17
55356618,17
57003315,17
56274346,17
56017891,17
57102408,16
56508495,16
56924791,16
57193142,16
56812215,16
54362973,16
56761261,16
57006464,16
56597512,16
54492398,16
57191668,16
56995100,16
57098526,16
57028403,16
56526701,16
57092795,15
56699159,15
57119194,15
200003763,15
57093250,15
683291,15
56866138,15
54517087,15
57062769,15
57161432,15
56274820,15
56492007,15
56670259,14
56488085,14
57032875,14
55559545,14
55130476,14
57217427,14
54372933,14
56989063,14
56515257,14
56021881,14
57015809,14
54590591,14
53695700,14
55158038,14
56921447,14
56372601,14
25818548,14
55995930,14
56899525,14
55176904,14
57148391,14
55447410,14
53571226,14
54239253,13
56260818,13
55886067,13
55320923,13
57180617,13
42345065,13
52761212,13
56320682,13
57025224,13
56746741,13
56910669,13
54406072,13
56932860,13
56910851,13
57101368,13
57160790,13
55366860,13
53509580,13
57200839,13
29440261,13
57081381,13
57155182,13
53980788,13
55922301,13
57018707,12
56727564,12
56912256,12
56859151,12
55233967,12
57041615,12
56951522,12
57086720,12
22373179,12
56585318,12
54992745,12
56786122,12
52720175,12
57052541,12
56728961,12
56946120,12
57003502,12
55924232,12
56689309,12
55725713,12
53674956,12
56808403,12
46415734,12
56866782,12
54591456,12
54681737,11
57051249,11
27447624,11
55544200,11
55571095,11
56937148,11
53797633,11
57080617,11
56941380,11
56871791,11
56931224,11
56982471,11
56769645,11
57163070,11
56776052,11
57192059,11
57065241,11
56919850,11
54356639,11
56913853,11
55027695,11
57153688,10
57157845,10
55662671,10
40785320,10
56928775,10
53428320,10
57088899,10
55067172,10
57218153,10
53875609,10
56956126,10
55352569,10
56980784,10
56866236,10
31077894,10
57175338,10
56011419,10
53573594,10
200001514,10
56501586,10
57081868,9
57211582,9
56214903,9
56918282,9
200004428,9
200008039,9
53690746,9
56574406,9
56922579,9
56703069,9
47037321,9
56351649,9
54952984,9
57146542,9
57085192,9
55590184,9
54833389,9
54337403,9
56702676,9
57059031,9
200001283,9
54138793,9
56971181,9
56791057,8
57157657,8
55418205,8
56516040,8
56680567,8
200009253,8
53325716,8
56936679,8
56701235,8
56965861,8
57209195,8
57024931,8
57000613,8
200006369,8
200010342,8
48712574,8
57101248,8
56953823,8
57171028,8
56826424,8
57160931,8
56894885,8
53951913,8
56694391,8
57107758,8
56858440,8
57204566,8
56899443,8
55981988,8
57094472,8
55002163,7
56942666,7
56709204,7
57114718,7
56938731,7
56906090,7
56969612,7
54762070,7
55757420,7
57072193,7
53762708,7
56265371,7
57197232,7
56724181,7
200010509,7
56165110,7
56878549,7
56455948,7
57069702,7
56792542,7
53531497,7
56890868,7
39710921,7
56908994,7
57027818,7
57156841,7
56222940,7
56767860,7
56919418,7
57153037,7
41418334,7
56920698,7
53583779,7
56649508,7
56524601,7
57186967,7
56475636,7
27260869,7
55110388,7
57116704,6
56942723,6
55845066,6
55994589,6
56760704,6
56518028,6
56918347,6
56591421,6
54675882,6
200004090,6
56218169,6
55801955,6
56920809,6
54429143,6
55270909,6
56921100,6
60005416,6
56241237,6
56910715,6
57136360,6
56880403,6
57206160,6
54173096,6
53989470,6
56906509,6
53325449,6
200010319,6
57114178,6
41574025,6
56737441,6
56729207,6
54845392,6
54292201,6
57212674,6
56786694,6
55170940,6
54891838,6
56446960,6
56924197,5
25332745,5
55902387,5
53698782,5
57155830,5
57134092,5
56406278,5
56246550,5
55994759,5
56950512,5
56967372,5
56928787,5
56814146,5
57108239,5
56898839,5
56420448,5
56923245,5
55962283,5
53848754,5
54510270,5
57034869,5
55079199,5
56824535,5
57137929,5
56912726,5
57189216,5
57113441,5
54993770,5
56930696,5
200006811,5
56445917,5
55886838,5
53322863,5
56560847,5
53605585,5
56521602,5
57203995,5
55555432,5
56804744,5
55401941,5
57099738,5
57144810,5
57154262,5
56350287,5
57130589,5
56743527,5
54142595,5
56911523,5
56551094,5
57184481,5
57212656,5
57122697,5
60000028,5
54853761,5
57075533,5
57028453,5
56676200,5
57216892,5
56711080,5
56128206,5
56274595,5
200007007,4
56905816,4
55236970,4
55060678,4
57188589,4
57098504,4
56920372,4
55902548,4
54901130,4
56785302,4
55548349,4
57121248,4
56615396,4
57203229,4
56576204,4
56505101,4
56337173,4
56525514,4
56486676,4
56593187,4
53365085,4
56987785,4
56800094,4
56968059,4
57100367,4
54278278,4
56533908,4
55337886,4
56368078,4
57031651,4
56304615,4
57050123,4
57197602,4
56898403,4
57076835,4
56765547,4
57208601,4
55822186,4
56867985,4
56351422,4
54793844,4
57132202,4
200002823,4
57112655,4
56937764,4
56577442,4
55221670,4
56632743,4
54222351,4
56964643,4
57155170,4
53507001,4
55405776,4
54910562,4
57097835,4
57084179,4
55533199,4
54714014,4
56350376,4
56970970,4
57069276,4
200000129,4
54855478,4
56999739,4
57010004,4
54165056,4
54511945,4
56592385,3
56918597,3
54157378,3
57149523,3
53739612,3
56662116,3
53573893,3
57198867,3
56629531,3
56854815,3
31211847,3
55261595,3
49452101,3
54443791,3
56986072,3
55745003,3
56932862,3
8000000,3
56199686,3
56062551,3
57162173,3
200004224,3
55251612,3
57168669,3
55542449,3
53906182,3
56836068,3
53730445,3
54991705,3
56783772,3
56437438,3
56372185,3
56822752,3
56714216,3
56772435,3
57168917,3
200002586,3
56921157,3
55993417,3
57168291,3
57136262,3
53443737,3
57195718,3
55780553,3
56904912,3
56904922,3
53183697,3
57159890,3
56368376,3
56968482,3
55854382,3
56696123,3
27447603,3
55628513,3
55332254,3
52741798,3
56730671,3
200005050,3
54622455,3
57128140,3
55731667,3
37043700,3
57138773,3
57077265,3
54989060,3
56049767,3
57189928,3
53846220,3
51222078,3
57151048,3
56043120,3
56968817,3
56954491,3
54125504,3
54400690,3
56626876,3
56919758,3
56922752,3
57184030,3
55432994,3
56655665,3
56289074,3
56983405,3
56524614,3
55451486,3
55174459,3
56581017,3
57198471,3
200001520,3
55120541,3
56932322,3
57212901,3
56929847,3
56910412,2
54071299,2
54704761,2
57174331,2
55984142,2
56494183,2
57180292,2
57180302,2
57168035,2
57145032,2
54068596,2
22069434,2
55912649,2
56760560,2
56832245,2
56921059,2
54784259,2
21795081,2
52341004,2
56967924,2
57138399,2
54878511,2
57116983,2
56576321,2
200010071,2
57047385,2
54755689,2
57207189,2
56930722,2
55984550,2
56826312,2
57074122,2
55337419,2
56760818,2
54817270,2
60000812,2
57088570,2
35031613,2
56375872,2
55079501,2
54825560,2
56576601,2
54993723,2
56639592,2
53943060,2
200010370,2
57162371,2
57115275,2
57162394,2
56318621,2
56096881,2
52836155,2
57045191,2
56904423,2
56040188,2
56496906,2
57068301,2
57191199,2
57209634,2
54372491,2
56900487,2
57065626,2
54465128,2
55327692,2
56918993,2
56189912,2
56660964,2
56531956,2
56962217,2
56798230,2
55829532,2
53507115,2
57144456,2
55292781,2
57210028,2
57217226,2
56366290,2
56378574,2
54969564,2
54895842,2
60013054,2
47186559,2
55776535,2
56335655,2
44653790,2
56928482,2
57175376,2
54535520,2
56919401,2
55446230,2
56087922,2
57087576,2
53480863,2
54630491,2
56712622,2
60003777,2
56921538,2
56995284,2
55950842,2
57155505,2
56512059,2
56610368,2
57017927,2
54855253,2
53667437,2
57050738,2
56828182,2
54462263,2
57200282,2
56547008,2
54081226,2
200011473,2
56858335,2
200006315,2
60002024,2
55084791,2
56684284,2
16734391,2
200011617,2
55671784,2
57205396,2
60007630,2
56913806,2
57198484,2
56991642,2
57025861,2
56922022,2
57006015,2
56943607,2
56555474,2
17975278,2
55190867,2
55810036,2
57159667,2
200003597,1
56746329,1
54509603,1
60000297,1
54231085,1
57116722,1
56143925,1
56351413,1
56926286,1
57188432,1
57106518,1
56993882,1
55947360,1
56181404,1
56924262,1
53885033,1
56981181,1
57188006,1
54453532,1
57147516,1
54567046,1
55789711,1
55823106,1
57194653,1
56986660,1
55234726,1
56222733,1
53940408,1
55746754,1
60012739,1
55195845,1
57154593,1
56826058,1
57199091,1
55253129,1
55269604,1
56768751,1
54898930,1
54415608,1
56653466,1
57112836,1
56344860,1
55314717,1
56973598,1
56100867,1
56273188,1
57167580,1
56854842,1
55519550,1
53858637,1
56936782,1
57108877,1
200003920,1
56625501,1
200010083,1
60004718,1
56850101,1
56613240,1
200010474,1
53336446,1
57016703,1
53932421,1
56099906,1
56665262,1
55633053,1
56377747,1
57217431,1
53643685,1
55607721,1
56041202,1
55345585,1
54645786,1
54576542,1
55265353,1
200004025,1
54934633,1
56424919,1
55001564,1
56476125,1
57040976,1
53463523,1
55116261,1
55413841,1
31780748,1
55007731,1
53856761,1
56874070,1
56924614,1
56987447,1
56635938,1
55926875,1
54566663,1
54043190,1
57185669,1
57162619,1
56726096,1
57077520,1
200001638,1
57202449,1
200008299,1
57205720,1
57186905,1
55303617,1
53643912,1
54271400,1
56912548,1
56657010,1
56870609,1
57046818,1
56361678,1
56316624,1
55804627,1
56891478,1
200004317,1
54846181,1
57006836,1
57127675,1
47665453,1
54564389,1
54272782,1
55919385,1
57201447,1
200010536,1
57154373,1
55726903,1
52648759,1
57205586,1
55491419,1
53687516,1
37867265,1
57154442,1
54341036,1
56929184,1
55524261,1
38397512,1
56185772,1
57139699,1
56984531,1
56978390,1
56941679,1
56046573,1
53294248,1
56003570,1
55967231,1
60001296,1
57193491,1
53828637,1
57213985,1
56910884,1
53462054,1
55030825,1
56632960,1
54754365,1
56976447,1
53448770,1
55049286,1
55602247,1
56638545,1
54885458,1
57216086,1
57152608,1
55860321,1
60009578,1
57017456,1
56938342,1
53638781,1
54965372,1
56640647,1
48073869,1
56610672,1
56994985,1
56745131,1
56425652,1
51331614,1
55287671,1
56698433,1
57155449,1
200010976,1
56653030,1
55807210,1
56112369,1
55803122,1
56626423,1
56298761,1
57078138,1
55760143,1
57169176,1
53843231,1
55184690,1
56245561,1
55627066,1
54015305,1
51914637,1
56931215,1
53841245,1
53331297,1
54736227,1
54918600,1
56580326,1
56918590,1
56648400,1
56916546,1
57218456,1
54649381,1
200009141,1
56859069,1
53530529,1
56413656,1
54810077,1
57107940,1
57167334,1
53163495,1
55077459,1
55127548,1
57171453,1
23547412,1
57101232,1
55824276,1
53272119,1
54271551,1
57153116,1
54468198,1
54155425,1
57007742,1
39573142,1
56893100,1
55778990,1
200000263,1
16213681,1
57202369,1
56236357,1
25990894,1
54103794,1
57093878,1
57076937,1
57150079,1
57078165,1
56997649,1
55922451,1
53830958,1
22302497,1
54904114,1
57151284,1
56596446,1
56422199,1
53763351,1
56813977,1
56248142,1
53657431,1
57216874,1
55140669,1
57073524,1
56993659,1
57214860,1
200004641,1
57071504,1
56600482,1
57170847,1
24455095,1
56555452,1
55652302,1
57051088,1
57203050,1
56942448,1
56997860,1
55135757,1
56500906,1
